epoch,accuracy,loss,val_accuracy,val_loss
0,0.599659264087677,0.8126708269119263,0.6870229244232178,0.6367788910865784
1,0.6192504167556763,0.6895164251327515,0.7862595319747925,0.6232427954673767
2,0.6499148011207581,0.6384562849998474,0.7099236845970154,0.6109262108802795
3,0.6746166944503784,0.6078261137008667,0.7022900581359863,0.5869262218475342
4,0.7120953798294067,0.5639015436172485,0.732824444770813,0.5742144584655762
5,0.7325383424758911,0.5586195588111877,0.7022900581359863,0.5592474341392517
6,0.7470187544822693,0.5470786094665527,0.7862595319747925,0.5394360423088074
7,0.786201000213623,0.499031662940979,0.8091602921485901,0.5191619396209717
8,0.7972742915153503,0.48498570919036865,0.7862595319747925,0.512316107749939
9,0.8040885925292969,0.4832042157649994,0.8091602921485901,0.491519033908844
10,0.8262351155281067,0.4752359986305237,0.8320610523223877,0.4882878363132477
11,0.8373083472251892,0.45593661069869995,0.8320610523223877,0.4763158857822418
12,0.8432708978652954,0.44300034642219543,0.8244274854660034,0.48479029536247253
13,0.8534923195838928,0.4406830370426178,0.8549618124961853,0.4689949154853821
14,0.867972731590271,0.43278831243515015,0.8625954389572144,0.4644778072834015
15,0.8730834722518921,0.4201267659664154,0.8778625726699829,0.445962518453598
16,0.8798977732658386,0.40853527188301086,0.8778625726699829,0.4292881488800049
17,0.9054514765739441,0.3830774128437042,0.8931297659873962,0.40814435482025146
18,0.8909710645675659,0.3912859261035919,0.885496199131012,0.40848082304000854
19,0.8918228149414062,0.3957670032978058,0.8931297659873962,0.3983009159564972
20,0.8935264348983765,0.38612931966781616,0.9007633328437805,0.39688047766685486
21,0.9156728982925415,0.3653443455696106,0.885496199131012,0.39980629086494446
22,0.9071550369262695,0.3663865923881531,0.8931297659873962,0.3854004144668579
23,0.913117527961731,0.3543660640716553,0.885496199131012,0.39338064193725586
24,0.922487199306488,0.34810152649879456,0.9007633328437805,0.36494430899620056
25,0.9207836389541626,0.3505699634552002,0.9007633328437805,0.3692737817764282
26,0.9267461895942688,0.3400615453720093,0.9160305261611938,0.3467958867549896
27,0.9216354489326477,0.3451216220855713,0.9160305261611938,0.35238608717918396
28,0.941226601600647,0.33146825432777405,0.9083969593048096,0.3582703173160553
29,0.9335604906082153,0.3330295979976654,0.9236640930175781,0.34659522771835327
30,0.9420783519744873,0.3200450539588928,0.9083969593048096,0.3510139286518097
31,0.9378194212913513,0.32553255558013916,0.9236640930175781,0.33976736664772034
32,0.9352640509605408,0.31799495220184326,0.9007633328437805,0.35870280861854553
33,0.9395229816436768,0.32035380601882935,0.9389312863349915,0.3319315016269684
34,0.9488926529884338,0.30729445815086365,0.9312977194786072,0.33422523736953735
35,0.9403747916221619,0.31382325291633606,0.9389312863349915,0.33424267172813416
